"Series Description","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFLGFCY30_N.A"
"Time Period","RIFLGFCY30_N.A"
1977,7.75
1978,8.49
1979,9.28
1980,11.27
1981,13.45
1982,12.76
1983,11.18
1984,12.41
1985,10.79
1986,7.78
1987,8.59
1988,8.96
1989,8.45
1990,8.61
1991,8.14
1992,7.67
1993,6.59
1994,7.37
1995,6.88
1996,6.71
1997,6.61
1998,5.58
1999,5.87
2000,5.94
2001,5.49
2002,5.43
2003,ND
2004,ND
2005,ND
2006,4.91
2007,4.84
2008,4.28
2009,4.08
2010,4.25
2011,3.91
2012,2.92
2013,3.45
2014,3.34